spin	e_nuc	e_t	e_ext	e_coul	e_xc	e_elec	e_tot	ene_check
1	26.23353748893597	113.3323053649888	-319.9023234397395	80.70028258020523	-14.139935957420231	-140.0096714519658	-113.77613396302984	True
0	31.01528877615417	113.9556546333225	-330.9073858587088	86.07356314056109	-14.557240018547835	-145.43540810337248	-114.42011932721832	True
0	40.20784356834705	115.1551863836594	-351.89631791938257	96.25447667667439	-15.35341776729417	-155.84007262634367	-115.63222905799662	True
0	22.947028562523236	108.9124728113411	-302.18750727101485	74.42051157421147	-13.543388727574056	-132.39791161303617	-109.45088305051294	True
0	41.447308513630304	111.31097475775748	-344.40648033180435	95.02670520522767	-15.16103277823298	-153.22983314705237	-111.78252463342207	True
1	25.93318107287721	129.4459855970245	-357.7041078176611	87.74214966878151	-15.233662553033135	-155.74963510488854	-129.81645403201134	True
2	27.181811796628452	149.69097820864374	-409.86237272021884	99.59525358665883	-16.85489336826022	-177.43103429317677	-150.24922249654833	True
0	36.46628317922008	150.91285145584433	-431.5356014346773	110.35401463097588	-17.66547341477846	-187.9342087626346	-151.4679255834145	True
0	30.172541675479795	198.80985363601832	-536.9406368119171	129.09532920587307	-20.5617691775661	-229.59722314759154	-199.42468147211173	True
0	57.467630981811524	187.73394589183255	-558.8727514340158	147.52604751739443	-22.334937158277572	-245.94769518306634	-188.48006420125483	True
0	20.310850138276503	322.8234562780762	-819.1485345885103	180.25024790591078	-28.585349409938182	-344.660179814462	-324.3493296761855	True
2	45.89105181713441	577.3637938618027	-1470.7837425705648	310.33837486361057	-41.38573515854053	-624.4673090036919	-578.5762571865574	True
0	61.618595394164856	681.0829111272274	-1747.7065453993334	368.6930037047367	-46.08842697833129	-744.0190575457007	-682.4004621515357	True
2	70.54865729113136	794.8089409592396	-2034.7601912616988	424.3344999656726	-50.99388295239227	-866.6106332891809	-796.0619759980495	True
0	75.89379189327282	918.8117100720733	-2340.1380215213085	481.49031613889787	-56.08103208885699	-995.9170273991929	-920.0232355059201	True
0	41.38744461119964	620.8991658305865	-1568.6077164711508	326.48841950753445	-42.43746278083013	-663.6575939138584	-622.2701493026588	True
0	38.42757473001169	363.6171620336465	-945.0300986175175	207.64212658059736	-29.2025712014194	-402.9733812046943	-364.5458064746826	True
0	32.88836451514583	435.2633481474759	-1100.8464091950464	227.41879754153922	-30.745661829398028	-468.90992533542953	-436.0215608202837	True
2	44.44568001700801	472.2456756684685	-1213.4148281100272	257.5061110675829	-33.95653227344872	-517.6195736474243	-473.17389363041633	True
1	44.790069054031434	534.1992927923069	-1361.3003996844816	283.67743232284136	-36.46520378212421	-579.8888783514576	-535.0988092974262	True
0	48.80013770798074	558.82011289083 	-1429.993320960128	300.979438165862	-38.35074611761103	-608.5445160210477	-559.7443783130669	True
0	90.85980222506167	580.9858718297295	-1568.0098737013893	357.58793503501505	-43.696741930499556	-673.1328087671418	-582.2730065420801	True
0	51.4203976460439	499.0967475814381	-1289.62931437663	273.7514462278248	-34.53049071527115	-551.3116112826372	-499.89121363659325	True
0	56.36232516821118	437.6697986493431	-1153.1912190759972	253.0175608167888	-32.35364081406257	-494.8575004239279	-438.49517525571673	True
0	50.450959965753526	534.8483365062143	-1374.4044881343432	290.235511828714	-36.878179822598845	-586.1988196220135	-535.74785965626	True
0	104.99083652265531	547.1006919169364	-1511.5026001721649	353.50899917786256	-42.502846686417655	-653.3957557637818	-548.4049192411265	True
0	110.2169938874265	323.32026537930204	-993.3381078062233	270.6216573147057	-35.20765017001345	-434.6038352822284	-324.3868413948019	True
0	230.40083070404438	1403.169200284875	-3801.447661746851	851.1163572423965	-88.26170417554052	-1635.4238083951195	-1405.022977691075	True
0	158.07112193055548	540.4566937726337	-1611.491419861583	420.8301123340213	-49.7824177478607	-699.9870315027874	-541.915909572232	True
0	297.5924192497406	1620.3689524330737	-4457.550490093465	1019.823762170379	-102.82833767546208	-1920.1861131654778	-1622.5936939157373	True
0	204.47223707280725	435.9540599261131	-1449.9676771403253	419.11642097253895	-46.854002241341284	-641.7511984830157	-437.27896141020847	True
0	439.6876882929138	1875.6609181728293	-5344.576142378763	1268.6681192586805	-117.60553861240946	-2317.852643559653	-1878.1649552667395	True
0	78.68740266799219	510.23989436085554	-1370.3797369189542	309.4735427650689	-39.33971262475762	-590.0060124177866	-511.3186097497944	True
0	108.4715030932339	832.7502664783087	-2199.157674441336	480.1389527526761	-56.35809580948935	-942.6265510198368	-834.155047926603	True
